"mr_id";"mr_nombre"
0;"0"
1;"KIA"
2;"RENAULT"
3;"FORD"
4;"CHEVROLET"
5;"MAZDA"
6;"VOLKSWAGEN"
7;"TOYOTA"
8;"NISSAN"
9;"SUZUKI"
10;"GENERICO"
11;"HYUNDAI"
12;"NISSAN"
13;"ZOTYE"
14;"CHERY"
15;"JEEP"
16;"MITSUBISHI"
17;"DFSK"
18;"DODGE"
19;"HONDA"
20;"MERCEDEZ"
21;"DAIHATSU"
22;"MERCEDES BENZ"
23;"DAEWOO"
24;"FOTON"
25;"SSANGYONG"
26;"GLORY"
27;"PEUGEOT"
28;"BMW"
29;"ASTON MARTIN"
30;"FIAT"
32;"VOLVO"
33;"ISUZU"
34;"SUBARU"
35;"AUDI"
36;"SEAT"
37;"SKODA"
38;"MINI"
39;"ALFA ROMEO"
40;"CITROËN"
41;"LAND ROVER"
42;"JAGUAR"
43;"PORSCHE"
44;"ROLLS-ROYCE"
45;"BENTLEY"
