"pr_id";"pr_fk_marca";"pr_nombre";"pr_cantidad";"pr_codigo";"pr_activos";"pr_salida";"pr_valor";"pr_adquisicion";"pr_fk_empresa"
1;10;"ACEITE MOBIL GALON 10W-30";0;"7705955103129";0;0;1.0;1.0;1
2;10;"ACEITE MOBIL GALON 20W-50";0;"7705955103082";0;0;1.0;1.0;1
3;10;"ACEITE MOBIL GALON 5W-30";0;"5425037864428";0;0;1.0;1.0;1
4;10;"REGRIGERANTE MAX COOL ROJO 1/4";0;"1";0;0;1.0;1.0;1
5;10;"ACEITE SHELL HELIX 20W-50 1/4";0;"5011987254879";0;0;1.0;1.0;1
6;10;"ACEITE ELF 15W-40 1/4";0;"3267025017872";0;0;1.0;1.0;1
7;10;"ACEITE ELF 20W-50 1/4";0;"3267025017896";0;0;1.0;1.0;1
8;10;"ACEITE ELF 10W-40 1/4";0;"3267025017810";-25002;25002;1.0;1.0;1
9;10;"ACEITE SHELL HELIX ULTRA 5W-30 1/4";0;"5011987860537";0;0;1.0;1.0;1
10;10;"ACEITE MOBIL 10W-30 1/4";0;"7705955103112";0;0;1.0;1.0;1
11;10;"ACEITE MOBIL 5W-30 1/4";0;"071924702226";0;0;1.0;1.0;1
12;10;"ACEITE MOBIL 5W-30 1/4";0;"5425037869478";0;0;1.0;1.0;1
13;10;"ACEITE CAJA AKRON";0;"785639151742";0;0;1.0;1.0;1
14;10;"ACEITE MOTORCRAFT SYNTHETIC 5W-30 1/4";0;"031508004238";0;0;1.0;1.0;1
15;10;"ACEITE TRASMISION GLOBAL 1/4";0;"1";0;0;1.0;1.0;1
16;10;"ACEITE SHELL HELIX 1 GALON 20W-50";0;"021400405950";0;0;1.0;1.0;1
17;10;"ACEITE SHELL HELIX ULTRA 5W-30 GALON";0;"5011987860544";0;0;1.0;1.0;1
18;10;"ACEITE ELF 5W-40 GALON";0;"3267025017704";0;0;1.0;1.0;1
19;10;"ACEITE ELF 15W-40 GALON";0;"3267025017889";0;0;1.0;1.0;1
20;10;"ACEITE ELF 20W-50 GALON";0;"3267025017902";0;0;1.0;1.0;1
21;10;"LIQUIDO REFRIGERANTE MAX COOL VERDE GALON";0;"1";0;0;1.0;1.0;1
22;10;"LIQUIDO REFRIGERANTE BIO VERDE GALON";0;"1";0;0;1.0;1.0;1
23;10;"LIQUIDO REFRIGERANTE GALON AZUL BIO";0;"1";-2;2;1.0;1.0;1
24;10;"ACEITE NISSAN 10W-30 1/4 BOLSA";0;"10114f420a";0;0;1.0;1.0;1
25;2;"AMORTIGUADORES TRASEROS";0;"562105043r1";-22;22;1.0;1.0;1
26;2;"AMORTIGUADOR DELANTERO";0;"543026656r1";0;0;1.0;1.0;1
27;2;"AMORTIGUADOR TRASERO DUSTER";0;"562103964r1";0;0;1.0;1.0;1
28;2;"KIT DE EMBRAGUE";0;"77014763271";-4;4;1.0;1.0;1
29;2;"DISCOS DE FRENOS DUSTER 2.0";0;"402066300r1";-18;18;1.0;1.0;1
30;2;"BALIBOMBA CLUSH";0;"306205482r1";0;0;1.0;1.0;1
31;2;"KIT DE REPARTICION DUSTER 2.0";0;"130c13130r1";-9;9;1.0;1.0;1
32;2;"BOMBA DE AGUA";0;"210105296r1";-10;10;1.0;1.0;1
33;2;"BOMBA DE AGUA DUSTER 1.6";0;"210100753r1";-16;16;1.0;1.0;1
34;2;"FILTRO DE ACEITE DUSTER 2.0";0;"86710140261";0;0;1.0;1.0;1
35;2;"FILTRO DE GASOLINA";0;"7700845961";-50000;50000;1.0;1.0;1
36;2;"BOBINAS";0;"82005686711";-143;143;1.0;1.0;1
37;2;"BUJIAS";0;"770050015510";-118;118;1.0;1.0;1
38;2;"PASTILLAS DE FRENOS DUSTER 2.0";0;"86600045451";-18;18;1.0;1.0;1
39;2;"PASTILLAS DE FRENO DUSTER 1.6";0;"86600047261";-29;29;1.0;1.0;1
40;2;"DISCOS DE FRENOS";0;"86600012321";-29;29;1.0;1.0;1
42;2;"CORREA DE ACCESORIOS";0;"8200598964";-12;12;1.0;1.0;1
43;10;"REFRIGERANTE COLOR VERDE MOTRIX";0;"1";0;0;1.0;1.0;1
44;10;"LIMPIADOR DE FRENOS MOTRIX";0;"1";0;0;1.0;1.0;1
45;2;"FILTROS DUSTER ESP 2.0 Y 1.6";0;"A0216S";0;0;1.0;1.0;1
