"rm_id";"rm_fk_orden";"rm_fk_banco";"rm_cheque";"rm_tipo_pago";"rm_fecha_plazo_pago";"rm_saldo";"rm_valor_servicios";"rm_valor_productos";"rm_valor_total";"rm_mecanica";"rm_mano_de_obra";"rm_costo";"rm_pago";"rm_observacion"
2;55;0;"0";0;"";0.0;20000.0;0.0;20000.0;0.0;0.0;0;"0,0,0";""
3;52;0;"0";1;"";0.0;0.0;0.0;0.0;0.0;0.0;0;"0,0,0";""
4;56;0;"0";1;"";0.0;0.0;440000.0;440000.0;0.0;0.0;0;"0,0,0";""
5;53;0;"0";0;"";0.0;120000.0;320000.0;440000.0;0.0;0.0;0;"0,0,0";""
6;54;0;"0";1;"";0.0;0.0;84011.0;84011.0;0.0;0.0;0;"0,0,0";""
7;68;0;"0";1;"";0.0;0.0;300000.0;300000.0;0.0;0.0;0;"0,0,0";""
8;65;0;"0";1;"";0.0;120000.0;349000.0;469000.0;0.0;0.0;0;"0,0,0";""
9;66;0;"0";1;"";0.0;150.0;0.0;150.0;0.0;0.0;0;"0,0,0";""
10;67;0;"0";1;"";0.0;20000.0;0.0;20000.0;0.0;0.0;0;"0,0,0";""
11;64;0;"0";1;"";0.0;120000.0;0.0;120000.0;0.0;0.0;0;"0,0,0";""
12;58;0;"0";1;"";0.0;50000.0;25000.0;75000.0;0.0;0.0;0;"0,0,0";""
13;69;0;"0";2;"";0.0;40000.0;260000.0;300000.0;0.0;0.0;0;"0,0,0";""
14;57;0;"0";1;"0000-00-00";0.0;2170000.0;330000.0;2500000.0;0.0;0.0;0;"0,0,0";""
15;70;0;"0";4;"2019-03-29";2400000.0;2400000.0;0.0;2400000.0;0.0;0.0;0;"0,0,0";""
16;71;0;"0";1;"";0.0;0.0;120000.0;120000.0;0.0;0.0;0;"0,0,0";""
17;72;0;"0";1;"";0.0;0.0;120000.0;120000.0;0.0;0.0;0;"0,0,0";""
18;73;0;"0";4;"";260000.0;60000.0;200000.0;260000.0;0.0;0.0;0;"0,0,0";""
19;60;0;"0";1;"";0.0;0.0;165000.0;165000.0;0.0;0.0;0;"0,0,0";""
20;74;0;"0";1;"";0.0;120000.0;190000.0;310000.0;0.0;0.0;0;"0,0,0";""
21;63;0;"0";1;"";0.0;0.0;120000.0;120000.0;0.0;0.0;0;"0,0,0";""
22;61;0;"0";1;"";0.0;480000.0;0.0;480000.0;0.0;0.0;0;"0,0,0";""
23;62;0;"0";1;"";0.0;210.0;0.0;210.0;0.0;0.0;0;"0,0,0";""
24;75;0;"0";4;"";450000.0;0.0;450000.0;450000.0;0.0;0.0;0;"0,0,0";""
25;76;0;"0";4;"";0.0;0.0;0.0;0.0;0.0;0.0;0;"0,0,0";""
