"sr_id";"sr_fk_marca";"sr_nombre"
0;0;"0"
1;2;"SANDERO"
2;2;"DUSTER"
3;2;"LOGAN"
4;3;"FIESTA SE"
5;3;"FIESTA ST"
6;3;"FIESTA TITANIUM"
7;2;"STEPWAY"
8;2;"KOLEOS"
9;4;"DIMAX"
10;4;"AVEO"
11;4;"SAIL"
12;4;"SPARK"
14;1;"SPORTAGE"
15;2;"TWINGO"
16;2;"SYMBOL"
17;4;"SUPERCARRY"
18;2;"KANGOO"
19;2;"RENAULT 21"
20;4;"TRACKER"
21;4;"ZAFIRA"
22;11;"H100"
23;11;"i10"
24;11;"i25"
25;13;"DUNA"
26;10;"GENERICO"
27;14;"TIGGO"
28;2;"9"
29;5;"MAZDA 6"
30;5;"MAZDA 3"
31;1;"S2700"
32;2;"MEGANE"
33;2;"SCENIC"
34;2;"MASTER"
35;4;"VITARA"
36;1;"RIO"
37;15;"CHEROKEE"
38;16;"LANCER"
39;6;"GOLF"
40;6;"GOL"
41;8;"SENTRA B13"
42;8;"SENTRA B14"
43;17;"EQ1020"
44;18;"JOURNEY"
45;19;"CIVIC"
46;19;"CR-V"
47;19;"HR-V"
48;19;"ACCORD"
49;0;""
50;20;"C 180"
51;7;"PRADO"
52;9;"ERTIGA"
53;2;"CAPTUR"
54;16;"LANCER"
55;21;"TERIUS"
56;22;"200"
57;2;"CLIO"
58;3;"RANGER"
59;8;"ALMERIA"
60;5;"BT50"
61;6;"SAVEIRO"
62;21;"TERIOS"
63;3;"RANGER"
64;16;"L200"
65;11;"VISION"
66;7;"HILUX"
67;3;"FUSION"
68;12;"NP309"
69;4;"CAPTIVA"
70;23;"CIELO"
71;12;"NP 300 FRONTIER"
72;24;"MINIVAN"
73;4;"N300"
74;9;"Swift"
75;8;"X-TRAIL"
76;14;"VAN PASS"
77;2;"KWID"
78;6;"JETTA"
79;6;"CROSSFOX"
80;11;"GETZ"
81;14;"YOYÓ"
82;8;"SENTRA 2.0"
83;25;"ANTYON SPORT"
84;1;"SOUL"
85;11;"ATOS PRIME"
86;20;"E230"
87;3;"EXPLORER"
88;26;"580"
89;11;"TUCSON"
90;8;"CABSTAR"
91;4;"ASTRA"
92;2;"OROCH"
93;4;"OPTRA"
94;11;"ION"
95;4;"NNR"
96;27;"206"
97;4;"CRUZE"
98;28;"330i"
99;1;"STYLUS"
100;1;"PICANTO"
101;18;"VIPER"
106;7;"FORTUNER"
107;12;"SENTRA B14"
108;1;"CERATO"
109;4;"ONIX"
110;3;"EDGE"
111;2;"FLUENCE"
112;2;"DUSTER"
113;8;"D22/NP300"
114;8;"TIIDA EMOT"
115;8;"PATHFINDER"
116;10;"MINI COOPER"
117;10;"CITROEN"
118;9;"GRAN VITARA"
119;16;"OUTLANDER PHEV"
120;3;"ECOSPORT"
121;10;"VOLVO"
122;2;"LAGUNA"
123;4;"SWIFT"
124;8;"FRONTIER"
125;11;"ELANDRA"
126;11;"EON"
127;5;"MAZDA 2"
128;16;"SPORTERO"
129;4;"ALTO"
