"ser_id";"ser_nombre";"ser_fk_empresa"
1;"CAMBIAR PASTILLAS";1
2;"CAMBIO CORREA DE REPARTICION";1
3;"CAMBIO DE ACEITE";1
4;"CAMBIO DE EMBRAGUE";1
5;"CAMBIO BALIBOMBA";1
6;"GRADUAR FRENOS";1
7;"SINCRONIZAR MOTOR";1
8;"CAMBIO CORREA DE ACCESORIOS";1
9;"CAMBIO BOMBA DE AGUA";1
10;"REVISAR FRENOS";1
11;"REVISAR SUSPENSION DELANTERA";1
12;"REVISAR SUSPENSION TRASERA";1
13;"CAMBIO SENSOR REVERSA";1
14;"CAMBIO PERA DE TEMPERATURA";1
15;"REPARAR CAJA";1
16;"REPARAR MOTOR";1
17;"REPARAR CAJA DE DIRECCION";1
18;"REPARAR BOMBA HIDRAULICA";1
19;"BAJAR CULATA";1
20;"CAMBIO VALVULAS";1
21;"MANO DE OBRA";1
22;"CAMBIAR BATERIA";1
23;"CAMBIO DE ACEITE MOTOR";1
24;"ARREGLO SWITCH";1
25;"ESCANEAR MOTOR";1
26;"CAMBIO MANGUERA PRINCIPAL RADIADOR";1
27;"REVISAR BOBINAS";1
28;"SINCRONIZAR MOTOR";1
29;"ALINEACION";1
30;"REVISAR AMORTIGUADORES";1
31;"CAMBIO SENSOR OXIGENO";1
32;"CAMBIO TIJERA";1
33;"REVISAR FAYA ";1
34;"SERVICIO DE GRUA";1
35;"CAMBIO T";1
36;"CAMBIO BATERIA";1
37;"CAMBIO TARRO DE AGUA";1
38;"CAMBIO TIJERA DERECHA";1
39;"CAMBIO BOBINA";1
40;"CAMBIO BUJIAS";1
41;"CAMBIO SOPORTE MOTOR";1
42;"TECNOMECANICA";1
43;"REVISION ";1
44;"CAMBIO DISCOS DE FRENOS";1
45;"ARREGLO RADIADOR";1
46;"REVISAR SOPORTE CAJA";1
47;"CAMBIO BOMBA INYECCION";1
48;"REVISAR SOPORTE CAJA Y CAMBIO";1
49;"CAMBIO MANGUERAS DE CALEFACCION";1
50;"CAMBIO CORREA ACCESORIOS";1
51;"REVISAR RUIDO VENTILADOR";1
52;"CALIBRAR VALVULAS";1
53;"COLOCAR TORNILLO BATERÕA";1
54;"REVISAR AIRE ACONDICIONADO";1
55;"REVISAR RUIDO SUSPENSION";1
56;"ARREGLO TUBOS";1
57;"ALISTAMIENTO PARA TECNOMECANICA";1
58;"CAMBIO FILTRO AIRE ACONDICIONADO";1
59;"ROTACION DE LLANTAS";1
60;"ALINEACION Y BALANCEO";1
61;"REVISAR ALTERNADOR";1
62;"REVISAR FUGA DE ACEITE HIDRAULICO";1
63;"BAJAR Y REPARAR ALTERNADOR";1
64;"RECTIFICADORA";1
65;"ARREGLO STOP";1
66;"CAMBIO SOPORTE  ";1
67;"CAMBIO BOMBA DE COMBUSTIBLE";1
68;"SERVICIO DE DESVARE";1
69;"EMPACAR BOMBA HIDRAULICA";1
70;"BAJAR Y MONTAR HIDRAULICO";1
71;"CAMBIO CORREA ACCESIRIOS";1
72;"CAMBIO PILA DE COMBUSTIBLE";1
73;"REVISAR FUGA ACEITE";1
74;"CAMBIO SOPORTE CAJA";1
75;"CAMBI CLOTSH";1
76;"CAMBIO GUAYA CLTSH";1
77;"REVISAR SUSPENSION GENERAL";1
78;"AJUSTE GENERAL";1
79;"REVISAR RUIDO ALTERNADOR";1
80;"CAMBIO MEDIDOR DE ACEITE";1
81;"RECAMBIO LÌQUIDOS VISAR";1
82;"COLOCAR SOPORTES DE FLAUTA ";1
83;"ARREGLÛ GUANTERA ";1
84;"CORREGIR FAIIA";1
85;"CORREGIR FAYA";1
86;"SACAR REVICION PREVENTIVA";1
87;"CORREGIR RUIDO SUSPENSION";1
88;"CAMBIO AMORTIGUADORES ";1
89;"CAMBIO TARRO AGUA";1
90;"REVISION RECALENTAMIENTO";1
91;"REVISION FRENOS";1
92;"CAMBIO PASTILLAS DE FRENOS";1
93;"CBIO TIJERA Y BRAZO AXIAL";1
94;"ARREGLO ALTERNADOR";1
95;"CAMBIO EMPAQUE CARTER";1
96;"CAMBIO RETEN CAJA";1
97;"REVICION DE AMORTIGUADORES";1
98;"REVISION DE FRENOS";1
99;"REVICION DE DIRECCION";1
100;"CAMBIO TERMOSTATO";1
101;"REVISAR BOBINAS Y BUJIAS";1
102;"BAJAR Y MONTAR MOTOR";1
103;"ARREGLO PROTECTOR";1
104;"SACAR TORNILLOS";1
105;"REVISAR ESTACIONARIAS";1
106;"BOMBILLO FAROLA";1
107;"REVISION FUGA ACEITE";1
108;"REVISAR SONIDO DIRECCION ";1
109;"BAJAR EXOSTO Y LIMPIAR SISTEMA";1
110;"BAJAR BOMBA INYECCION";1
111;"CALIBRAR BOMBA INYECCION";1
112;"CORREGIR FAYA MOTOR";1
113;"CAMBIO EMPAQUE CULATA";1
114;"CAMBIO RODAMIENTO";1
115;"CAMBIO CAUCHOS ESTABILISADORA";1
116;"CAMBIO TIRANTAS";1
117;"AJUSTE DIRECCION";1
118;"AJUSTAR FRENOS";1
119;"REVISAR MOTOR";1
120;"CAMBIO CLOTSH";1
121;"CAMBIO BOBINA Y BUJIAS";1
122;"REVISAR DIRECCION";1
123;"ASEGURAR BATERIA";1
124;"REVISAR FALLA MOTOR";1
125;"CAMBIO BOMBILLOS";1
126;"REVISION NIVELES";1
127;"REVISAR  FRENOS";1
128;"PROBAR INYECTORES ";1
129;"SERVICIO DE SCANER";1
130;"CAMBIO DE TIJERA IZQUIERDA";1
131;"CAMBIO ACEITE CAJA";1
132;"CEPILLAR VOLANTE";1
133;"SINCRONIZACION PREVENTIVA";1
134;"CAMBIO GUAYA GASOLINA";1
135;"CAMBIO CORREAS";1
136;"REVISAR CLOTSH";1
137;"REVISAR AMORTIGUADORES DELANTEROS";1
138;"REVISAR FILTRACION DE AGUA ANTENA";1
139;"86710140261";1
140;"EMPACAR CARTER";1
141;"CAMBIO RETEN POLEA CIGUE—AL";1
142;"CORREGIR FUGA ACEITE";1
143;"CORREGIR FUGA ACEITE BASE FILTRO";1
144;"CAMBIO AMORTIGUADORES TRASEROS";1
145;"CAMBIO KIT REPARTICION";1
